Roller contact length [m],0.001587802146457606
Load no,T_r [C],alpha_max,front_x,front_v (mm/s),Q_roller (power per unit thickness from both rollers [W/m]),Q_roller_noFP (from both rollers power per unit thickness [W/m]),R_tc,V_r,T0, Tamb, Hgap, phi1, phi2, alpha0, h_conv
5,65.0,0.11316822325666086,-inf,1.5,-0.6919906182985207,-0.7146649792575075,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.11329231890490331,-inf,1.5,-0.8348750743232486,-0.8575979751038839,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.11341823241989313,-inf,1.5,-0.9777591943808177,-1.0005309709525327,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.11354599580513271,-inf,1.5,-1.1206429759723948,-1.143463966799203,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.11367564179004748,-inf,1.5,-1.2635264165602702,-1.286396962645168,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.11380720385168171,-inf,1.5,-1.4064095135978487,-1.4293299584933812,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.11394071623689848,-inf,1.5,-1.5492922645067084,-1.5722629543388058,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.11407621398561499,-inf,1.5,-1.6921746666891093,-1.7151959501874208,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.11421373295509236,-inf,1.5,-1.83505671751717,-1.858128946033947,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.1143533098447822,-inf,1.5,-1.977938414343193,-2.0010619418811637,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.11449498222214749,-inf,1.5,-2.1208197544865226,-2.143994937726955,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.11463879501822781,-inf,1.5,-2.2637007312823707,-2.2869279335719273,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.11478477512207924,-inf,1.5,-2.4065813497811495,-2.4298609294203986,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.1149329689315103,-inf,1.5,-2.5494616034109,-2.572793925267024,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.11508341776977196,-inf,1.5,-2.692341489387344,-2.715726921115082,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.11523616397443653,-inf,1.5,-2.8352210048992754,-2.8586599169597737,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.11259011566527945,-inf,1.5,0.0022868985336184726,-7.191818035330919e-12,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.1126018284289873,-inf,1.5,-0.012275395550616394,-0.01456180606499335,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.11261355987128074,-inf,1.5,-0.02683769138326749,-0.029123612125851052,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.11262530844878552,-inf,1.5,-0.04139998913196215,-0.04368541818387445,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.1126370741907668,-inf,1.5,-0.055962288798252685,-0.05824722424570519,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.11264885712714003,-inf,1.5,-0.07052459038905806,-0.07280903030227244,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.11266065728755667,-inf,1.5,-0.08508689390649848,-0.08737083636358331,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.11267247470188371,-inf,1.5,-0.0996491993549731,-0.10193264242263464,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.11268430940001269,-inf,1.5,-0.11421150673770103,-0.11649444848295086,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.11269616141200585,-inf,1.5,-0.12877381605737892,-0.1310562545427641,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.11270803076783438,-inf,1.5,-0.14333612732054574,-0.14561806060333432,1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
